,No.,Kabupaten/kota,Ibu kota,Bupati/wali kota,Luas wilayah (km2)[3],Jumlah penduduk (2022),Kecamatan,Kelurahan/desa,Lambang ,Peta lokasi
0,1,Asahan,Kisaran,Surya,"3.737,83",791.174,25,27/177,,
1,2,Batu Bara,Limapuluh,Nizhamul (Pj.),"888,14",443.816,12,10/141,,
2,3,Dairi,Sidikalang,Eddy Keleng Ate Berutu,"2.083,60",319.583,15,8/161,,
3,4,Deli Serdang,Lubuk Pakam,Ali Yusuf Siregar,"2.581,23",1.991.108,22,14/380,,
4,5,Humbang Hasundutan,Dolok Sanggul,Dosmar Banjarnahor,"2.351,51",204.377,10,1/153,,
5,6,Karo,Kabanjahe,Cory Sriwaty Sebayang,"2.206,88",410.465,17,10/259,,
6,7,Labuhanbatu,Rantau Prapat,Erik Adtrada Ritonga,"2.772,38",505.875,9,23/75,,
7,8,Labuhanbatu Selatan,Kota Pinang,Edimin,"3.079,61",325.451,5,2/52,,
8,9,Labuhanbatu Utara,Aek Kanopan,Hendri Yanto Sitorus,"3.686,01",396.555,8,8/82,,
9,10,Langkat,Stabat,Faisal Hasrimy (Pj.),"6.140,04",1.084.108,23,37/240,,
10,11,Mandailing Natal,Panyabungan,Jafar Sukhairi Nasution,"6.547,26",491.005,23,27/377,,
11,12,Nias,Gido,Ya'atulo Gulö,"902,40",145.644,10,-/170,,
12,13,Nias Barat,Lahomi,Khenoki Waruwu,"464,22",96.938,8,-/105,,
13,14,Nias Selatan,Teluk Dalam,Hilarius Duha,"2.531,70",367.97,35,2/459,,
14,15,Nias Utara,Lotu,Amizaro Waruwu,"1.238,06",152.378,11,1/112,,
15,16,Padang Lawas,Sibuhuan,Edy Junaidi  (Pj.),"3.914,41",264.041,12,1/303,,
16,17,Padang Lawas Utara,Gunung Tua,Patuan Rahmat Syukur Parlaungan Hasibuan (Pj.),"3.945,56",270.595,9,2/386,,
17,18,Pakpak Bharat,Salak,Franc Bernhard Tumanggor,"1.365,61",55.55,8,-/52,,
18,19,Samosir,Pangururan,Vandiko Gultom,"1.850,04",142.318,9,6/128,,
19,20,Serdang Bedagai,Sei Rampah,Darma Wijaya,"1.949,18",669.746,17,6/237,,
20,21,Simalungun,Raya,Radiapoh Hasiholan Sinaga,"4.601,48",1.039.056,32,27/386,,
21,22,Tapanuli Selatan,Sipirok,Dolly Putra Parlindungan Pasaribu,"4.201,04",315.713,14,37/211,,
22,23,Tapanuli Tengah,Pandan,Sugeng Riyanta (Pj.),"2.307,68",366.361,20,56/159,,
23,24,Tapanuli Utara,Tarutung,Nikson Nababan,"3.895,60",321.514,15,11/241,,
24,25,Toba,Balige,Poltak Sitorus,"2.291,62",213.924,16,13/231,,
25,26,Kota Binjai,-,Amir Hamzah,"93,77",300.499,5,37/-,,
26,27,Kota Gunungsitoli,-,Sowa'a Laoli,"208,68",137.249,6,3/98,,
27,28,Kota Medan,-,Bobby Nasution,"279,29",2.527.050,21,151/-,,
28,29,Kota Padangsidimpuan,-,Letnan Dalimunthe (Pj.),"159,30",228.744,6,37/42,,
29,30,Kota Pematangsiantar,-,Susanti Dewayani,"75,92",274.278,8,53/-,,
30,31,Kota Sibolga,-,Jamaluddin Pohan,"11,47",95.527,4,17/-,,
31,32,Kota Tanjungbalai,-,Waris Thalib,"60,07",179.589,6,31/-,,
32,33,Kota Tebing Tinggi,-,Syarmadani (Pj.),"39,17",177.029,5,35/-,,
